"CODE","ACCPDX","STRAGE","ENDAGE","SEX","PDX_LEVEL","BK1","BK2"
"B07","True",0,200,"12",0,"",""
"B08","True",0,200,"12",0,"",""
"B080","True",0,200,"12",0,"",""
"B081","True",0,200,"12",0,"",""
"B082","True",0,200,"12",0,"",""
"B083","True",0,200,"12",0,"",""
"B084","True",0,200,"12",0,"",""
"B085","True",0,200,"12",0,"",""
"B088","True",0,200,"12",0,"",""
"B09","True",0,200,"12",0,"",""
"B15","True",0,200,"12",0,"",""
"B150","True",0,200,"12",0,"",""
"B159","True",0,200,"12",0,"",""
"B16","True",0,200,"12",0,"",""
"B160","True",0,200,"12",0,"",""
"B161","True",0,200,"12",0,"",""
"B162","True",0,200,"12",0,"",""
"B169","True",0,200,"12",0,"",""
"B17","True",0,200,"12",0,"",""
"B170","True",0,200,"12",0,"",""
"B171","True",0,200,"12",0,"",""
"B172","True",0,200,"12",0,"",""
"B178","True",0,200,"12",0,"",""
"B18","True",0,200,"12",0,"",""
"B180","True",0,200,"12",0,"",""
"B181","True",0,200,"12",0,"",""
"B182","True",0,200,"12",0,"",""
"B188","True",0,200,"12",0,"",""
"B189","True",0,200,"12",0,"",""
"B19","True",0,200,"12",0,"",""
"B190","True",0,200,"12",0,"",""
"B199","True",0,200,"12",0,"",""
"B20","True",0,200,"12",0,"",""
"B200","True",0,200,"12",0,"",""
"B201","True",0,200,"12",0,"",""
"B202","True",0,200,"12",0,"",""
"B203","True",0,200,"12",0,"",""
"B204","True",0,200,"12",0,"",""
"B205","True",0,200,"12",0,"",""
"B206","True",0,200,"12",0,"",""
"B207","True",0,200,"12",0,"",""
"B208","True",0,200,"12",0,"",""
"B209","True",0,200,"12",0,"",""
"B21","True",0,200,"12",0,"",""
"B210","True",0,200,"12",0,"",""
"B211","True",0,200,"12",0,"",""
"B212","True",0,200,"12",0,"",""
"B213","True",0,200,"12",0,"",""
"B217","True",0,200,"12",0,"",""
"B218","True",0,200,"12",0,"",""
"B219","True",0,200,"12",0,"",""
"B22","True",0,200,"12",0,"",""
"B220","True",0,200,"12",0,"",""
"B221","True",0,200,"12",0,"",""
"B222","True",0,200,"12",0,"",""
"B227","True",0,200,"12",0,"",""
"B23","True",0,200,"12",0,"",""
"B230","True",0,200,"12",0,"",""
"B231","True",0,200,"12",0,"",""
"B232","True",0,200,"12",0,"",""
"B238","True",0,200,"12",0,"",""
"B24","True",0,200,"12",0,"",""
"B25","True",0,200,"12",0,"",""
"B250","True",0,200,"12",0,"",""
"B251","True",0,200,"12",0,"",""
"B252","True",0,200,"12",0,"",""
"B258","True",0,200,"12",0,"",""
"B259","True",0,200,"12",0,"",""
"B26","True",0,200,"12",0,"",""
"B260","True",0,200,"1",0,"",""
"B261","True",0,200,"12",0,"",""
"B262","True",0,200,"12",0,"",""
"B263","True",0,200,"12",0,"",""
"B268","True",0,200,"12",0,"",""
"B269","True",0,200,"12",0,"",""
"B27","True",0,200,"12",0,"",""
"B270","True",0,200,"12",0,"",""
"B271","True",0,200,"12",0,"",""
"B278","True",0,200,"12",0,"",""
"B279","True",0,200,"12",0,"",""
"B30","True",0,200,"12",0,"",""
"B300","True",0,200,"12",0,"",""
"B301","True",0,200,"12",0,"",""
"B302","True",0,200,"12",0,"",""
"B303","True",0,200,"12",0,"",""
"B308","True",0,200,"12",0,"",""
"B309","True",0,200,"12",0,"",""
"B33","True",0,200,"12",0,"",""
"B330","True",0,200,"12",0,"",""
"B331","True",0,200,"12",0,"",""
"B332","True",0,200,"12",0,"",""
"B333","True",0,200,"12",0,"",""
"B338","True",0,200,"12",0,"",""
"B34","True",0,200,"12",0,"",""
"B340","True",0,200,"12",0,"",""
"B341","True",0,200,"12",0,"",""
"B342","True",0,200,"12",0,"",""
"B343","True",0,200,"12",0,"",""
"B344","True",0,200,"12",0,"",""
"B348","True",0,200,"12",0,"",""
"B349","True",0,200,"12",0,"",""
"B35","True",0,200,"12",0,"",""
"B350","True",0,200,"12",0,"",""
"B351","True",0,200,"12",0,"",""
"B352","True",0,200,"12",0,"",""
"B353","True",0,200,"12",0,"",""
"B354","True",0,200,"12",0,"",""
"B355","True",0,200,"12",0,"",""
"B356","True",0,200,"12",0,"",""
"B358","True",0,200,"12",0,"",""
"B359","True",0,200,"12",0,"",""
"B36","True",0,200,"12",0,"",""
"B360","True",0,200,"12",0,"",""
"B361","True",0,200,"12",0,"",""
"B362","True",0,200,"12",0,"",""
"B363","True",0,200,"12",0,"",""
"B368","True",0,200,"12",0,"",""
"B369","True",0,200,"12",0,"",""
"B37","True",0,200,"12",0,"",""
"B370","True",0,200,"12",0,"",""
"B371","True",0,200,"12",0,"",""
"B372","True",0,200,"12",0,"",""
"B373","True",0,200,"2",0,"",""
"B374","True",0,200,"12",0,"",""
"B375","True",0,200,"12",0,"",""
"B376","True",0,200,"12",0,"",""
"B377","True",0,200,"12",0,"",""
"B378","True",0,200,"12",0,"",""
"B379","True",0,200,"12",0,"",""
"B38","True",0,200,"12",0,"",""
"B380","True",0,200,"12",0,"",""
"B381","True",0,200,"12",0,"",""
"B382","True",0,200,"12",0,"",""
"B383","True",0,200,"12",0,"",""
"B384","True",0,200,"12",0,"",""
"B387","True",0,200,"12",0,"",""
"B388","True",0,200,"12",0,"",""
"B389","True",0,200,"12",0,"",""
"B39","True",0,200,"12",0,"",""
"B390","True",0,200,"12",0,"",""
"B391","True",0,200,"12",0,"",""
"B392","True",0,200,"12",0,"",""
"B393","True",0,200,"12",0,"",""
"B394","True",0,200,"12",0,"",""
"B395","True",0,200,"12",0,"",""
"B399","True",0,200,"12",0,"",""
"B40","True",0,200,"12",0,"",""
"B400","True",0,200,"12",0,"",""
"B401","True",0,200,"12",0,"",""
"B402","True",0,200,"12",0,"",""
"B403","True",0,200,"12",0,"",""
"B407","True",0,200,"12",0,"",""
"B408","True",0,200,"12",0,"",""
"B409","True",0,200,"12",0,"",""
"B41","True",0,200,"12",0,"",""
"B410","True",0,200,"12",0,"",""
"B417","True",0,200,"12",0,"",""
